Name,Number,Position,Height,Weight,Age,Exp,College
Mason Rudolph,2.0,QB,5-Jun,235.0,25.0,3,Oklahoma State
Jaylen Samuels,38.0,RB,Jun-00,225.0,24.0,3,North Carolina State
JuJu Smith-Schuster,19.0,WR,1-Jun,215.0,24.0,4,USC
Benny Snell Jr.,24.0,RB,10-May,224.0,22.0,2,Kentucky
Cameron Sutton,20.0,CB,11-May,188.0,25.0,4,Tennessee
Stephon Tuitt,91.0,DE,6-Jun,303.0,27.0,7,Notre Dame
Alejandro Villanueva,78.0,OT,9-Jun,320.0,32.0,6,Army
James Washington,13.0,WR,11-May,213.0,24.0,3,Oklahoma State
Derek Watt,44.0,FB,2-Jun,234.0,28.0,5,Wisconsin
T.J. Watt,90.0,LB,4-Jun,252.0,26.0,4,Wisconsin
Avery Williamson,51.0,ILB,1-Jun,246.0,28.0,7,Kentucky
Chris Wormley,95.0,NT,5-Jun,300.0,27.0,4,Michigan
Deandre Baker,30.0,CB,11-May,180.0,23.0,2,Georgia
Le'Veon Bell,26.0,RB,1-Jun,225.0,28.0,7,Michigan State
Bashaud Breeland,21.0,CB,11-May,195.0,28.0,7,Clemson
Harrison Butker,7.0,K,4-Jun,205.0,25.0,4,Georgia Tech
Frank Clark,55.0,DE,3-Jun,260.0,27.0,6,Michigan
Mike Danna,51.0,DE,2-Jun,261.0,23.0,R,Michigan
Yasir Durant,79.0,OL,6-Jun,331.0,22.0,R,Missouri
Clyde Edwards-Helaire,25.0,RB,7-May,207.0,21.0,R,LSU
Rashad Fenton,27.0,CB,11-May,188.0,23.0,2,South Carolina
Eric Fisher,72.0,T,7-Jun,315.0,29.0,8,Central Michigan
Willie Gay,50.0,LB,1-Jun,243.0,22.0,R,Mississippi State
Antonio Hamilton,20.0,CB,Jun-00,195.0,27.0,5,South Carolina State
Mecole Hardman,17.0,WR,10-May,187.0,22.0,2,Georgia
Darius Harris,47.0,LB,2-Jun,238.0,24.0,1,Middle Tennessee
Chad Henne,4.0,QB,3-Jun,222.0,35.0,13,Michigan
Tyreek Hill,10.0,WR,10-May,185.0,26.0,5,West Alabama
Anthony Hitchens,53.0,LB,Jun-00,235.0,28.0,7,Iowa
Chris Jones,95.0,DT,6-Jun,310.0,26.0,5,Mississippi State
Nick Keizer,48.0,TE,4-Jun,251.0,25.0,1,Grand Valley State
Travis Kelce,87.0,TE,5-Jun,260.0,31.0,8,Cincinnati
BoPete Keyes,29.0,CB,1-Jun,202.0,23.0,R,Tulane
Daniel Kilgore,67.0,C,3-Jun,291.0,33.0,10,Appalachian State
Tanoh Kpassagnon,92.0,DE,7-Jun,289.0,26.0,4,Villanova
Chris Lammons,45.0,DB,10-May,190.0,24.0,2,South Carolina
Patrick Mahomes,15.0,QB,3-Jun,230.0,25.0,4,Texas Tech
Tyrann Mathieu,32.0,S,9-May,190.0,28.0,8,LSU
Ben Niemann,56.0,LB,2-Jun,235.0,25.0,3,Iowa
Derrick Nnadi,91.0,DT,1-Jun,312.0,24.0,3,Florida State
Alex Okafor,57.0,DE,4-Jun,261.0,29.0,8,Texas
Mike Pennel,64.0,DT,4-Jun,332.0,29.0,7,Colorado State Pueblo
Byron Pringle,13.0,WR,1-Jun,203.0,27.0,3,Kansas State
Martinas Rankin,74.0,T,5-Jun,311.0,26.0,3,Mississippi State
Austin Reiter,62.0,C,3-Jun,300.0,29.0,5,South Florida
Mike Remmers,75.0,OL,5-Jun,308.0,31.0,8,Oregon State
Demarcus Robinson,11.0,WR,1-Jun,203.0,26.0,5,Florida
Khalen Saunders,99.0,DT,Jun-00,324.0,24.0,2,Western Illinois
Ricky Seals-Jones,83.0,TE,5-Jun,243.0,25.0,4,Texas A&M
Anthony Sherman,42.0,FB,10-May,242.0,32.0,10,Connecticut
Emmanuel Smith,43.0,LB,2-Jun,240.0,25.0,1,Vanderbilt
L'Jarius Sneed,38.0,DB,Jun-00,192.0,23.0,R,Louisiana Tech
Daniel Sorensen,49.0,S,2-Jun,208.0,30.0,7,Brigham Young
Darwin Thompson,34.0,RB,8-May,200.0,23.0,2,Utah State
Juan Thornhill,22.0,S,Jun-00,205.0,25.0,2,Virginia
Tommy Townsend,5.0,P,1-Jun,191.0,24.0,R,Florida
Charvarius Ward,35.0,CB,1-Jun,196.0,24.0,3,Middle Tennessee State
Tim Ward,90.0,DE,6-Jun,255.0,23.0,1,Old Dominion
Sammy Watkins,14.0,WR,1-Jun,211.0,27.0,7,Clemson
Armani Watts,23.0,S,11-May,205.0,24.0,3,Texas A&M
Tershawn Wharton,98.0,DT,4-Jun,255.0,22.0,R,Missouri S&T
Darrel Williams,31.0,RB,11-May,224.0,25.0,3,LSU
Damien Wilson,54.0,LB,Jun-00,245.0,27.0,6,Minnesota
James Winchester,41.0,LS,3-Jun,240.0,31.0,6,Oklahoma
Stefen Wisniewski,61.0,G,3-Jun,305.0,31.0,10,Penn State
Andrew Wylie,77.0,G,6-Jun,309.0,26.0,3,Eastern Michigan
Deon Yelder,82.0,TE,4-Jun,255.0,25.0,3,Western Kentucky
Kwon Alexander,,,,,,,
Alex Anzalone,47.0,LB,3-Jun,241.0,26.0,4,Florida
Terron Armstead,72.0,T,5-Jun,304.0,29.0,8,Arkansas-Pine Bluff
Zack Baun,53.0,OLB,3-Jun,225.0,23.0,R,Wisconsin
Drew Brees,9.0,QB,Jun-00,209.0,41.0,20,Purdue
Malcom Brown,90.0,DT,2-Jun,320.0,26.0,6,Texas
Michael Burton,32.0,FB,Jun-00,240.0,28.0,6,Rutgers
Jared Cook,87.0,TE,5-Jun,254.0,33.0,12,South Carolina
Ken Crawley,25.0,CB,1-Jun,180.0,27.0,5,Colorado
Marcus Davenport,92.0,DE,6-Jun,265.0,24.0,3,Texas-San Antonio
Demario Davis,56.0,LB,2-Jun,248.0,31.0,9,Arkansas State
Nick Easton,62.0,C/G,3-Jun,303.0,28.0,6,Harvard
Kaden Elliss,55.0,LB,3-Jun,238.0,25.0,2,Idaho
C.J. Gardner-Johnson,22.0,S,11-May,210.0,23.0,2,Florida
Carl Granderson,96.0,DE,5-Jun,261.0,24.0,2,Wyoming
J.T. Gray,48.0,DB,Jun-00,202.0,24.0,3,Mississippi State
Ethan Greenidge,73.0,OL,4-Jun,335.0,23.0,2,Villanova
Trey Hendrickson,91.0,DE,4-Jun,270.0,26.0,4,Florida Atlantic
